3551.4	2017.8	3558.4	2058.5	3599	2051.5	3592	2010.9
3505.4	157.85	3541.9	177.05	3561.1	140.57	3524.6	121.38
3502.4	1345.8	3511.5	1305.6	3551.7	1314.7	3542.6	1354.9
3422.4	1752.8	3444.8	1718.2	3479.4	1740.6	3457	1775.2
3392.4	1537.8	3400.7	1578.2	3441.1	1570	3432.8	1529.6
3398.4	393.85	3391.5	353.22	3432.1	346.28	3439	386.91
3330.4	2088.8	3361.2	2061.4	3388.6	2092.1	3357.9	2119.6
3322.4	1177.8	3342.1	1141.6	3378.3	1161.3	3358.6	1197.5
3273.4	569.85	3277.4	528.83	3318.4	532.83	3314.4	573.85
3230.4	1828.8	3268	1811.9	3284.9	1849.5	3247.3	1866.4
3073.4	1454.8	3073.4	1496.1	3114.6	1496.1	3114.6	1454.8
3050.4	724.85	3080.1	753.46	3108.7	723.79	3079	695.18
3033.4	952.85	3039.4	993.63	3080.2	987.66	3074.2	946.88
2943.4	1910.8	2982	1896.4	2996.5	1935	2957.9	1949.4
2940.4	172.85	2973.1	197.93	2998.2	165.22	2965.5	140.14
2917.4	1727.8	2921.5	1768.9	2962.6	1764.7	2958.4	1723.7
2851.4	1093.8	2866.2	1055.4	2904.7	1070.2	2889.9	1108.6
2825.4	590.85	2827.5	549.68	2868.6	551.74	2866.6	592.91
2761.4	336.85	2761.6	295.63	2802.8	295.81	2802.6	337.03
2727.4	1364.8	2742	1326.3	2780.6	1340.9	2766	1379.4
2705.4	2035.8	2692.1	2074.8	2731.1	2088.2	2744.4	2049.2
2667.4	693.85	2704.2	712.41	2722.8	675.61	2686	657.05
2624.4	1759.8	2619.8	1800.8	2660.7	1805.5	2665.4	1764.5
2589.4	66.85	2568.4	31.423	2603.8	10.358	2624.8	45.785
2536.4	335.85	2577.1	342.63	2583.8	301.97	2543.2	295.19
2533.4	916.85	2527.3	876.09	2568.1	869.98	2574.2	910.74
2492.4	1321.8	2529.5	1303.8	2547.5	1340.9	2510.4	1358.9
2422.4	1965.8	2458.3	1945.5	2478.6	1981.4	2442.8	2001.7
